Name,Link,Date,Category,Downloads,Author,Summary
3D Road Network (North Jutland Denmark),https://archive.ics.uci.edu/ml/datasets/3D+Road+Network+%28North+Jutland%2C+Denmark%29,2013-04-16,Computer,121258,Manohar Kaul Department of Computer Science Aarhus University Denmark (mkaul '@' cs.au.dk) ,This dataset was constructed by adding elevation information to a 2D road network in North Jutland Denmark (covering a region of 185 x 135 km^2). Elevation values where extracted from a publicly available massive Laser Scan Point Cloud for Denmark (available at : [Web Link] (Bottom-most dataset)). This 3D road network was eventually used for benchmarking various fuel and CO2 estimation algorithms. This dataset can be used by any applications that require to know veryaccurate elevation information of a road network to perform more accurate routing for eco-routing cyclist routes etc. For the data mining and machine learning community this dataset can be used as 'ground-truth' validation in spatial mining techniques and satellite image processing. It has no class labels but can be used in unsupervised learning and regression to guess some missing elevation information for some points on the road. The work was supported by the Reduction project that is funded by the European Comission as FP7-ICT-2011-7 STREP project number 288254.
Wine Quality,https://archive.ics.uci.edu/ml/datasets/Wine+Quality,2009-10-07,Business,520496,Paulo Cortez University of Minho GuimarÃ£es Portugal http://www3.dsi.uminho.pt/pcortez A. Cerdeira F. Almeida T. Matos and J. Reis Viticulture Commission of the Vinho Verde Region(CVRVV) Porto Portugal @2009,The two datasets are related to red and white variants of the Portuguese "Vinho Verde" wine. For more details consult: [Web Link] or the reference [Cortez et al. 2009].  Due to privacy and logistic issues only physicochemical (inputs) and sensory (the output) variables are available (e.g. there is no data about grape types wine brand wine selling price etc.). These datasets can be viewed as classification or regression tasks.  The classes are ordered and not balanced (e.g. there are munch more normal wines than excellent or poor ones). Outlier detection algorithms could be used to detect the few excellent or poor wines. Also we are not sure if all input variables are relevant. So it could be interesting to test feature selection methods.
Planning Relax,https://archive.ics.uci.edu/ml/datasets/Planning+Relax,2012-07-17,Computer,37312,Rajen Bhatt rajen.bhatt '@' gmail.com IIT Delhi,EEG record contains many regular oscillations which are believed to reflect synchronized rhythmic activity in a group of neurons. Most activity related EEG patterns occur within the following frequency bands. Delta (0.5 â€“ 4 Hz.) Theta (4 â€“ 8 Hz) Alpha (8 â€“ 13 Hz) Beta (13 â€“ 22 Hz) and Gamma (30 â€“ 40 Hz). The waves with the frequency of  7 â€“ 13 Hz over motor processing areas are called mu rhythm and reflect idling activity in motor areas. It is more pronounced when the subjects are at rest and at least a second before subjects initiate voluntary movement the mu  activity over the hemisphere contralateral to the region moved shows a decrease in amplitude and is called Event Related Desynchronization (ERD).For the current study EEG data was collected for 5 times on various days from a healthy right-handed subject of 25 years of age. The data was recorded on a Medelec Profile Digital EEG machine. The settings of high frequency filter 50 Hz low frequency filter 1.6 Hz notch filter 50 Hz sensitivity 70 micro volts/mm and a sampling rate of 256 Hz were used for the basic signal processing. Eight EEG electrodes (C3 C4 P3 P4 F3 F4 T3 and T4) were placed according to the international standard 10-20 system of electrode placement. Bipolar and unipolar EEG was recorded from eight Ag/AgCI scalp electrodes which were placed 2.5 cm anterior and posterior to the central electrodes C3 and C4 (left and right side of the hemisphere). A1 and A2 are reference electrodes. The reference electrodes are placed on the left and right ears and the ground electrode on the forehead. EOG (Electrooculogram) being a noise artifact was derived from two electrodes placed on the outer cantus of left and right eye in order to detect eye movement. These EOG signals are then used to eliminate eye movement artifacts. The subject was asked to lie down comfortably in a relaxed position with eyes closed and advised to minimize eye movements. The EEG was recorded for the relaxed state for 5 minutes. Following this an audio beep of 60 db and 0.91 sec. duration was given at the start and end of a 5 second epoch where the subject was asked to mentally plan lifting of the right hand thumb. This activity is collected as a 5 second epoch data corresponding to â€˜movement imageryâ€™ state. After a gap of 5 minutes the same cue is given to repeat the experiment. The whole experiment lasts for approximately 30 minutes collecting data for 5 trials of 5 second epoch each for normal relaxed state and 5 trials of 5 second epoch each for movement imagery. No actual movement is performed during the session. All data sets were visually checked for artifacts before final selection.
Gas sensors for home activity monitoring,https://archive.ics.uci.edu/ml/datasets/Gas+sensors+for+home+activity+monitoring,2016-07-15,Computer,38893,Creators:Flavia HuertaRamon Huerta University of California San Diego USA Donors:Flavia HuertaRamon Huerta University of California San Diego USA (rhuerta â€˜@â€™ ucsd.edu)Thiago Mosqueiro University of California San Diego USA (thmosqueiro â€˜@â€™ ucsd.edu)Jordi Fonollosa Institute for Bioengineering of Catalunya Spain (jfonollosa â€˜@â€™ ibecbarcelona.eu)Nikolai Rulkov University of California San Diego USA ( nrulkov â€˜@â€™ ucsd.edu )Irene Rodriguez-Lujan Universidad Autonoma de Madrid Spain ( Irene.rodriguez â€˜@â€™ uam.es ),This dataset has recordings of a gas sensor array composed of 8 MOX gas sensors and a temperature and humidity sensor. This sensor array was exposed to background home activity while subject to two different stimuli: wine and banana. The responses to banana and wine stimuli were recorded by placing the stimulus close to the sensors. The duration of each stimulation varied from 7min to 2h with an average duration of 42min. This dataset contains a set of time series from three different conditions: wine banana and background activity. There are 36 inductions with wine 33 with banana and 31 recordings of background activity. One possible application is to discriminate among background wine and banana. This dataset is composed of two files: HT_sensor_dataset.dat (zipped) where the actual time series are stored and the HT_Sensor_metadata.dat where metadata for each induction is stored. Each induction is uniquely identified by an id in both files. Thus metadata for a particular induction can be easily found by matching columns id from each file.  We also made available python scripts to exemplify how to import organize and plot our data. The scripts are available on GitHub:[Web Link]  For each induction we include one hour of background activity prior to and after the stimulus presentation. Time series were recorded at one sample per second with minor variations at some data points due to issues in the wireless communication. For details on which sensors were used and how the time series is organized see Attribute Information below. The metadata stored in file HT_Sensor_metadata.dat is divided in the following columns: * id: identification of the induction to be matched with id in file HT_Sensor_dataset.dat;* date: day month and year when this induction was recorded;* class: what was used to generate this induction (wine banana or background);* t0: time in hours in which the induction started (represents the time zero in file HT_Sensor_dataset.dat);* dt: interval that this induction lasted.
Hybrid Indoor Positioning Dataset from WiFi RSSI Bluetooth and magnetometer,https://archive.ics.uci.edu/ml/datasets/Hybrid+Indoor+Positioning+Dataset+from+WiFi+RSSI%2C+Bluetooth+and+magnetometer,2016-12-18,Computer,798,Zsolt TÃ³th University of Miskolc <tothzs '@' iit.uni-miskolc.hu>Judit TamÃ¡s University of Miskolc <tamas13 '@' iit.uni-miskolc.hu>,The measurements were created to ease the development comparison and evaluation of fingerprinting based hybrid indoor positioning methods. The measurements were recorded by the same kind of Android devices in order to reduce the effect of the variety of the hardware. The recording was preformed at weekend to reduce the noise of the environment. The measurements were performed in a three-story building and cover about 50% of it. 
Automobile,https://archive.ics.uci.edu/ml/datasets/Automobile,1987-05-19,N/A,237169,Creator/Donor:  Jeffrey C. Schlimmer (Jeffrey.Schlimmer '@' a.gp.cs.cmu.edu) Sources: 1) 1985 Model Import Car and Truck Specifications 1985 Ward's Automotive Yearbook.2) Personal Auto Manuals Insurance Services Office 160 Water Street New York NY 10038 3) Insurance Collision Report Insurance Institute for Highway Safety Watergate 600 Washington DC 20037,This data set consists of three types of entities: (a) the specification of an auto in terms of various characteristics (b) its assigned insurance risk rating (c) its normalized losses in use as compared to other cars.  The second rating corresponds to the degree to which the auto is more risky than its price indicates. Cars are initially assigned a risk factor symbol associated with its price.   Then if it is more risky (or less) this symbol is adjusted by moving it up (or down) the scale.  Actuarians call this process "symboling".  A value of +3 indicates that the auto is risky -3 that it is probably pretty safe. The third factor is the relative average loss payment per insured vehicle year.  This value is normalized for all autos within a particular size classification (two-door small station wagons sports/speciality etc...) and represents the average loss per car per year. Note: Several of the attributes in the database could be used as a "class" attribute.
Corel Image Features,https://archive.ics.uci.edu/ml/datasets/Corel+Image+Features,1999-07-01,N/A,60293,Original Owner: Michael Ortega-BinderbergerInformation and Computer ScienceUniversity of California at IrvineIrvine CA 92697-3425USAmiki '@' ics.uci.edu  Donor: Kriengkrai Porkaew and Sharad MehrotraInformation and Computer ScienceUniversity of California at IrvineIrvine CA 92697-3425USA nid '@' ics.uci.edusharad '@' ics.uci.edu  ,The original image collection was obtained from Corel at [Web Link]. There are 68040 photo images from various categories. Each set of features is stored in a separate file. For each file a line corresponds to a single image. The first value in a line is is the image ID and the subsequent values are the feature vector (e.g. color histogram etc.) of the image. The same image has the same ID in all files but the image ID is not the same as the image filename. 
AAAI 2014 Accepted Papers,https://archive.ics.uci.edu/ml/datasets/AAAI+2014+Accepted+Papers,2014-07-30,Computer,31054,Carla Brodleyc.brodley '@' neu.edu Dean of the College of Computer and Information ScienceNortheastern University,CSV format where each row is a paper and each column an attribute.
Pioneer-1 Mobile Robot Data,https://archive.ics.uci.edu/ml/datasets/Pioneer-1+Mobile+Robot+Data,1999-01-28,Computer,26361,Matthew D. Schmill Paul R. CohenExperimental Knowledge Systems Laboratory Department of Computer Science Box 34610 University of Massachusetts Amherst Amherst MA 01003-4610 schmill '@' cs.umass.edu cohen '@' cs.umass.edu,The data were collected over a series of specifically designed trials. Our hope was to cover most of the types of sensory interactions that a Pioneer might be reasonably expected to encounter: things like passing by visible objects pushing visible objects crashing into walls etc. Many of these interactions are repeated throughout the dataset. This data was collected to serve as the basis for work in learning and conceptual development. Our first goal was to be able to have the robot cluster these experiences by their dynamics on their own into clusters of experiences with a common outcome. Each data file contains time series data in which each row of data corresponds to a single observation of the sensor array. Included in each row are two additional variables 'id' and 'description' which indicate the experience number that the observation belongs to and a description of that experience respectively. Observations within an experience are taken every 100ms.  The data is stored in three text files: one file for experiences in which the Pioneer was moving in a straight line one in which it was turning in place and one in which it was raising or lowering its gripper. The description variable is a string of symbols. The string breaks down as follows: "u" or "o" -  unobstructed or obstructed"x.xs"     -  activity lasted x.x secondsactivity   -  the activity and speed if applicable i.e. move100 = move forward at 100mm/secvisual     -  objects in the visual array are listed in sequence. "cAHEAD" indicates an object visible to channel c directly AHEAD of the Pioneer.[visual.X] -  visual descriptions followed by a '.' and one character indicate that something special happens with the visible object. .V means the object Vanishes from sight during the activity. .D indicates that the object is Discovered (becomes visible) during the activity. .P indicates that the object is pushed.  An example: "u-3.5s-retr-100-aRIGHT.D"  An unobstructed retreat (move) at -100 mm/sec for 3.5 seconds with an object being discovered in channel A. It should be noted that particularly with respect to the visual channels the description may not be 100% accurate. Since the visual channels respond to colors that they are trained on (visual a=red visual b=yellow visual c=blue) it was possible but infrequent for some extraneous object in the environment generated a response in visual channels that were not supposed to show activity in a particular trial. Rows are seperated by carriage returns columns by commas. 
Nomao,https://archive.ics.uci.edu/ml/datasets/Nomao,2012-07-04,Computer,32975,(a) Original owner of database (name / phone / snail address / email address)Nomao / 00 33 5 62 48 33 90 / 1 avenue Jean Rieux 31500 Toulouse / challenge '@' nomao.com (b) Donor of database (name / phone / snail address / email address) Laurent Candillier / - /  1 avenue Jean Rieux 31500 Toulouse  / laurent '@' nomao.com,The dataset has been enriched during the Nomao Challenge:[Web Link] organized along with the ALRA workshop (Active Learning in Real-world Applications):[Web Link] held at the ECML-PKDD 2012 conference.
Poker Hand,https://archive.ics.uci.edu/ml/datasets/Poker+Hand,2007-01-01,Game,380454,Creators: Robert Cattral (cattral '@' gmail.com) Franz Oppacher (oppacher '@' scs.carleton.ca)Carleton University Department of Computer ScienceIntelligent Systems Research Unit1125 Colonel By Drive Ottawa Ontario Canada K1S5B6,Each record is an example of a hand consisting of five playing cards drawn from a standard deck of 52. Each card is described using two attributes (suit and rank) for a total of 10 predictive attributes. There is one Class attribute that describes the "Poker Hand". The order of cards is important which is why there are 480 possible Royal Flush hands as compared to 4 (one for each suit - explained in [Web Link]).
Gas sensor array under flow modulation,https://archive.ics.uci.edu/ml/datasets/Gas+sensor+array+under+flow+modulation,2014-09-10,Computer,22436,Creators:Andrey Ziyatdinov (andrey.ziyatdinov '@' upc.edu)Department of ESAII Universitat Politenica de Catalunya Pau Gargallo 5 Barcelona SpainCentro de Investigacion Biomedica en Red en BioingenierÄ±a Biomateriales y Nanomedicina (CIBER-BBN) Barcelona Spain Jordi Fonollosa (fonollosa '@' ucsd.edu)BioCircuits Institute University of California San Diego La Jolla CA 92093 USA Donors: Luis Fernandez (lfernandez '@' el.ub.es)Agustin Gutierrez-Galvez (agutierrez '@' el.ub.es)Santiago Marco (smarco '@' el.ub.es)Signal and Information Processing for Sensing Systems Institute for Bioengineering of Catalonia (IBEC) Baldiri Reixac 4-8 08028 Barcelona SpainDepartament dElectronica Universitat de Barcelona Marti i Franques 1 08028 Barcelona Spain Alexandre Perera (Alexandre.Perera '@' upc.edu)Department of ESAII Universitat Politenica de Catalunya Pau Gargallo 5 Barcelona SpainCentro de Investigacion Biomedica en Red en BioingenierÄ±a Biomateriales y Nanomedicina (CIBER-BBN) Barcelona Spain,The measured data was collected using a chemical sensing system based on an array of 16 metal-oxide gas sensors and an external mechanical ventilator to simulate the biological respiration cycle. The tested gas classes (12 in total) formed a relatively broad combination of two analytes acetone and ethanol in binary mixtures. Both raw data set and feature data set are available. In particular two sets of low-frequency and high-frequency features are provided for a comparison study. The primary data analysis is supposed to be a multivariate regression with multiple responses (two responses) where the predictors were the features extracted from the sensor signals and the responses were the concentrations of two analytes acetone and ethanol. This task is also known as a mixture quantification problem of two analytes. Please see the article (Ziyatdinov et al. 2014 Section 3.2) for such regression analysis based on partial least squares (PLS). A classification task is also possible given that a small number of samples per class is available if all the 12 classes are used. Another classification problem can be stated to distinguish two pure analytes and mixtures of them. Three concentrations doses 0.1 0.3 and 1 vol.% were used to prepare the dilutions in water for the pure analytes. The same dilutions were used to generate gas mixtures. The gas classes included samples of pure ethanol ('lab' attribute eth-0.1 eth-0.3 and eth-1) samples of pure acetone (ace-0.1 ace-0.3 and ace-1) samples of binary mixtures of ethanol and acetone (ace-0.1-eth-0.1 ace-0.1-eth-0.3 ace-0.3-eth-0.1 ace-0.1-eth-1 and ace-1-eth-0.1) and samples of water dilutions without any analyte (air) giving a total number of 12 classes. The choice of these analytes and concentrations was not affected by any particular application constraint except that the sensors of selected models show consistent and diverse responses among the gas classes. The statistics on class distribution among 58 samples: eth-0.1: 6eth-0.3: 4eth-1: 5ace-0.1: 6ace-0.3: 6ace-1: 3ace-0.1-eth-0.1: 4ace-0.1-eth-0.3: 5ace-0.3-eth-0.1: 5ace-0.1-eth-1: 3ace-1-eth-0.1: 3air: 8 The measurements were split into 5 batches ('batch' attribute) where each batch contained records approximately for all gas classes given in a random order. All the batches were collected in a time period of 4 days to minimize the effect of the long-term internal and environmental noise in the system. The statistics on batch distribution among 58 samples: day-1-morning: 19day-2-afternoon: 10day-2-morning: 10day-3-morning: 11day-4-afternoon: 8 The array was composed of 16 metal-oxide gas sensors of 5 different TGS models from Figaro Inc. The sensors were configured for 10 different sensor conditioning profiles based on the combination of 5 TGS models and 2 sensor operating temperatures. The circuit board with the gas sensor array was placed in a 70 ml inner volume chamber connected to the mechanical ventilator. The device of the mechanical ventilator was made commercially available from Harvard Apparatus (Harvard Apparatus Harvard Inspira Advanced Safety Ventilator Manual Tech. rep. 2003). The mechanical ventilator includes a cylinder of volume 63.44 cm3 and a mechanical pump that takes air from the outlet 'Source' and pushes the air sample through the outlet 'To Animal'. The system also receives the sample again in the outlet 'From Animal' to close the loop control the air pressure decay and collect the exhaled air. The cylinder of the ventilator was fixed to a frequency of 5 breaths per minute approximately equivalent to 0.08 Hz for all the measurements. See the article (Ziyatdinov et al. 2014 Section 2.1) for a detailed description of the experimental set up. The measurement protocol was the following: using a micropipette we delivered 10 Î¼l of the corresponding dilution to the vessel which in turn was connected to the apparatus 'Source' channel to expose the sensor array to the generated gas sample. After 3 min of exposition the source of the gas vapour was removed from the vessel to start the recovery phase. During the recovery phase the system was sampling room air for 2 additional minutes to record the decay in the sensors signals. The recorded time-series signal for each sensor was acquired at the sampling frequency of 25 Hz during 5 min resulting in 7500 data points per time-series of a single sensor. Note that 2 minutes of recovery phase was not sufficient to recover the sensors baseline and re-establish again the initial conditions in the gas chamber. Hence although we acquired 2 minutes of recovery phase the system was pumping air until the sensors recovered the baseline and the whole gas sample was exhausted from the gas chamber. The readout data was the output voltage of the sensor stored as resistance values according to the voltage-divider scheme and using the value of the load resistor. Hence each data point in the array described the resistance of a sensor R(t) at a certain time of measurement t. The resistancevalues in the data set were normalized by subtracting the baseline value R0 = R(t0) at thestarting point of the measurement t0 and scaling by factor R0 (R(t) âˆ’ R0)/R0. Note that such format of the measured raw data allows for comparison of responses among different sensors. Previously to computing the low-frequency and high-frequency features the raw data were pre-processed by a set of digital filters. A median filter was used to remove the spikes in the signals. Then we employed two Butterworth filters of 3rd order: a low-pass filter (cut-off frequency 0.01 Hz) and a high-pass filter (pass-frequency 0.07 Hz) to generate the low/high frequency signals respectively. Note that these low/high frequency signals (output of the two Butterworth filters) are not distributed within the data set. For feature extraction both low-frequency and high-frequency sensor signals were divided by respiratory cycles where each cycle was processed independently. Thus a feature is referred to as a feature by respiratory cycle. Since high-frequency signals showed oscillatory behavior similar to a sine wave curve we decided to follow a straightforward strategy for feature extraction in this case. We used amplitude of the high-frequency signal (oscillation) at every respiratory cycle as a feature. Low-frequency trajectories had a monotonic behaviour and we used the magnitude of the low-frequency signal as a feature at every respiratory cycle. The magnitude value was taken at the same time of oscillation where the amplitude of the high-frequency signal was measured. Note that the low-frequency and high-frequency features were computed only for the first 13 respiration cycles. In addition to the low/high frequency features we also introduced a cycle-independent feature persingle measurement defined as the maximum of the low-frequency signal over the course ofthe measurement. The first data analysis of the data set was presented in (Ziyatdinov et al. 2014) and the results reported there should be considered as a reference. The study aimed to characterize and explore the sensor signals in response to the modulated gas flow at a fixed respiration frequency. It was expected to confirm a superior performance of the proposed system under the gas flow modulation on the early detection scenario. The acquired modulated signals were decomposed into low-frequency and high-frequency components and the resulted feature sets were compared in terms of the discrimination performance. Note that it was assumed that the low-frequency part of the modulated signals approximate the signals that would be measured under the standard constant flow rate mode (such assumption was empirically confirmed by observing the transient dynamics). The strategy in signal- and data-processing applied in (Ziyatdinov et al. 2014) was straightforward and the analysis can be improved in a number of ways on the stages of feature extraction and/or pattern recognition. Hence the raw data stored in 'rawdata.csv.gz' file is intended for testing feature extraction methods while the features computed in (Ziyatdinov et al. 2014) and stored in 'features.csv' can be readily used in testing pattern recognition methods. Additional links:1. Data vizualization of time series in the data set: [Web Link].2. Code repository for reproducible analysis applied to the data set: [Web Link].
Localization Data for Person Activity,https://archive.ics.uci.edu/ml/datasets/Localization+Data+for+Person+Activity,2010-11-03,Life,72776,- Creators: Mitja Lustrek (mitja.lustrek '@' ijs.si) Bostjan Kaluza (bostjan.kaluza '@' ijs.si) Rok Piltaver (rok.piltaver '@' ijs.si) Jana Krivec (jana.krivec '@' ijs.si) Vedrana Vidulin (vedrana.vidulin '@' ijs.si)   - Jozef Stefan Institute Jamova cesta 39 1000 Ljubljana Slovenija- Donor: Bozidara Cvetkovic (boza.cvetkovic '@' ijs.si) - Jozef Stefan Institute Jamova cesta 39 1000 Ljubljana Slovenija- Date received: October 2010,People used for recording of the data were wearing four tags (ankle left ankle right belt and chest). Each instance is a localization data for one of the tags. The tag can be identified by one of the attributes.
MAGIC Gamma Telescope,https://archive.ics.uci.edu/ml/datasets/MAGIC+Gamma+Telescope,2007-05-01,Physical,73531,Original Owner: R. K. BockMajor Atmospheric Gamma Imaging Cherenkov Telescope project (MAGIC)http://wwwmagic.mppmu.mpg.de rkb '@' mail.cern.ch  Donor: P. SavickyInstitute of Computer Science AS of CRCzech Republicsavicky '@' cs.cas.cz ,The data are MC generated (see below) to simulate registration of high energy gamma particles in a ground-based atmospheric Cherenkov gamma telescope using the imaging technique. Cherenkov gamma telescope observes high energy gamma rays taking advantage of the radiation emitted by charged particles produced inside the electromagnetic showers initiated by the gammas and developing in the atmosphere. This Cherenkov radiation (of visible to UV wavelengths) leaks through the atmosphere and gets recorded in the detector allowing reconstruction of the shower parameters. The available information consists of pulses left by the incoming Cherenkov photons on the photomultiplier tubes arranged in a plane the camera. Depending on the energy of the primary gamma a total of few hundreds to some 10000 Cherenkov photons get collected in patterns (called the shower image) allowing to discriminate statistically those caused by primary gammas (signal) from the images of hadronic showers initiated by cosmic rays in the upper atmosphere (background). Typically the image of a shower after some pre-processing is an elongated cluster. Its long axis is oriented towards the camera center if the shower axis is parallel to the telescope's optical axis i.e. if the telescope axis is directed towards a point source. A principal component analysis is performed in the camera plane which results in a correlation axis and defines an ellipse. If the depositions were distributed as a bivariate Gaussian this would be an equidensity ellipse. The characteristic parameters of this ellipse (often called Hillas parameters) are among the image parameters that can be used for discrimination. The energy depositions are typically asymmetric along the major axis and this asymmetry can also be used in discrimination. There are in addition further discriminating characteristics like the extent of the cluster in the image plane or the total sum of depositions. The data set was generated by a Monte Carlo program Corsika described in:    D. Heck et al. CORSIKA A Monte Carlo code to simulate extensive air showers    Forschungszentrum Karlsruhe FZKA 6019 (1998).[Web Link]  The program was run with parameters allowing to observe events with energies down to below 50 GeV.
Gas sensor array exposed to turbulent gas mixtures,https://archive.ics.uci.edu/ml/datasets/Gas+sensor+array+exposed+to+turbulent+gas+mixtures,2014-10-10,Computer,21788,Creators: Jordi Fonollosa (fonollosa '@'ucsd.edu) BioCircutis Institute University of California San Diego San Diego California USA  Donors of the Dataset: Jordi Fonollosa (fonollosa '@'ucsd.edu) Irene Rodriguez-Lujan (irrodriguezlujan '@' ucsd.edu) Marco Trincavelli (marco.trincavelli '@' oru.se) Alexander Vergara Ramon Huerta (rhuerta '@' ucsd.edu) ,A chemical detection platform composed of 8 chemo-resistive gas sensors was exposed to turbulent gas mixtures generated naturally in a wind tunnel. The acquired time series of the sensors are provided. The experimental setup was designed to test gas sensors in realistic environments. Traditionally chemical detection systems based on chemo-resistive sensors include a gas chamber to control the sample air flow and minimize turbulence. Instead we utilized a wind tunnel with two independent gas sources that generate two gas plumes. The plumes get naturally mixed along a turbulent flow and reproduce the gas concentration fluctuations observed in natural environments. Hence the gas sensors can capture the spatio-temporal information contained in the gas plumes. a) Chemical detection platform:The chemical detection platform was composed of 8 MOX gas sensors that generate a time-dependent multivariate response to the different gas stimuli. The utilized sensors were made commercially available by Figaro (TGS2611 TGS2612 TGS2610 TGS2600 TGS2602 TGS2620). The operating temperature of the sensors was controlled by the built-in heater which was kept at a constant voltage of 5V. The detection platform also includes Temperature and Relative Humidity sensors. The generated sensors' responses were acquired at a sampling rate of 20 ms for the whole duration of the experiment. b) Wind tunnel:In order to generate two independent gas plumes in an open environment we built a 2.5 m x 1.2 m x 0.4 m wind tunnel facility with two gas sources (labeled as source1 and source2). Each source was controlled independently to release the selected volatiles at different flow rates which generated different concentration levels in the sensors' position. The wind generator created a turbulent flow that constantly displaced the introduced volatiles towards the exhaust outlet. c) Experimental protocol:We exposed the detection unit to mixtures of Ethylene with Methane or Carbon Monoxide. The mixtures were originated releasing Ethylene at source1 and releasing Methane / Carbon Monoxide at source2. Each volatile was released at four different flows (zero z low l medium m and high h) providing up to 30 different mixture configurations: 15 mixtures of Ethylene with CO (h+h h+m h+l â€¦ z+h z+m z+l) and 15 mixtures of Ethylene with Methane. Each configuration was repeated 6 times. Hence the complete dataset was composed of 180 measurements which were performed in a random order.  By means of a GCMS system the mean concentration levels at the sensors' location were estimated: Ethylene (l: 31 ppm m: 46 ppm h: 96 ppm) CO (l: 270 ppm m: 397 ppm h: 460 ppm) Methane (l: 51 ppm m: 115 ppm h: 131 ppm). It is worth noting that GC-MS systems only provide the mean value of the concentration and are not sensitive to concentration fluctuations. Each measurement which had a total duration of 300 seconds was performed as follows: Initially no gas was released and clean air flowed along the wind tunnel. 60 seconds after both sources started to release the corresponding volatile at the specified flow rate. The duration of the gas release was 180 s. Finally the system acquired the recovery to the baseline for another 60 s. 
Urban Land Cover,https://archive.ics.uci.edu/ml/datasets/Urban+Land+Cover,2014-03-27,Physical,25476,Brian Johnson; Institute for Global Environmental Strategies; 2108-11 Kamiyamaguchi Hayama Kanagawa240-0115 Japan; Email: Johnson '@' iges.or.jp ,Contains training and testing data for classifying a high resolution aerial image into 9 types of urban land cover. Multi-scale spectral size shape and texture information are used for classification. There are a low number of training samples for each class (14-30) and a high number of classification variables (148) so it may be an interesting data set for testing feature selection methods. The testing data set is from a random sampling of the image. Class is the target classification variable. The land cover classes are: trees grass soil concrete asphalt buildings cars pools shadows.
Japanese Credit Screening,https://archive.ics.uci.edu/ml/datasets/Japanese+Credit+Screening,1992-03-19,Financial,67916,Creator:  Chiharu Sano  Donor:  Chiharu Sanocsano '@' bonnie.ICS.UCI.EDU,Examples represent positive and negative instances of people who were and were not  granted credit. The theory was generated by talking to the individuals at a Japanese company that grants credit.
URL Reputation,https://archive.ics.uci.edu/ml/datasets/URL+Reputation,2009-10-15,Computer,98113,'Identifying Malicious URLs: An Application of Large-Scale Online Learning' (ICML-09)Justin Ma Lawrence K. Saul Stefan Savage Geoffrey M. Voelker Please visit [http://sysnet.ucsd.edu/projects/url/] for more information.,Uncompressing the archive url_svmlight.tar.gz will yield a directory url_svmlight/ containing the following files:    * FeatureTypes --- A text file list of feature indices that correspond to real-valued features.    * DayX.svm (where X is an integer from 0 to 120) --- The data for day X in SVM-light format. A label of +1 corresponds to a malicious URL and -1 corresponds to a benign URL.
Dataset for Sensorless Drive Diagnosis,https://archive.ics.uci.edu/ml/datasets/Dataset+for+Sensorless+Drive+Diagnosis,2015-02-24,Computer,29256,Owner of database: Martyna Bator (University of Applied Sciences Ostwestfalen-Lippe martyna.bator '@' hs-owl.de)Donor of database: Martyna Bator (University of Applied Sciences Ostwestfalen-Lippe martyna.bator '@' hs-owl.de),Features are extracted from electric current drive signals. The drive has intact and defective components. This results in 11 different classes with different conditions. Each condition has been measured several times by 12 different operating conditions this means by different speeds load moments and load forces. The current signals are measured with a current probe and an oscilloscope on two phases.
Pittsburgh Bridges,https://archive.ics.uci.edu/ml/datasets/Pittsburgh+Bridges,1990-08-01,N/A,63905,Creators: Yoram Reich & Steven J. FenvesDepartment of Civil Engineering      andEngineering Design Research CenterCarnegie Mellon UniversityPittsburgh PA 15213 Compiled from various sources. Donor:  Yoram Reich (yoram.reich '@' cs.cmu.edu),There are two versions to the database:     -  V1 contains the original examples and      - V2 contains descriptions after discretizing numeric properties. There are no ``classes'' in the domain. Rather this is a DESIGN domain where 5 properties (design description) need to be predicted based on 7 specification properties.
UbiqLog (smartphone lifelogging),https://archive.ics.uci.edu/ml/datasets/UbiqLog+%28smartphone+lifelogging%29,2016-06-16,Computer,9729,Reza Rawassizadeh rrawassizadeh '@' acm.org. University of California Riverside.,This is the first smartphone based lifelogging dataset that is going to be available for public use. Please consider that the user of this dataset are obliged NOT to perform any sort of analysis that can harm the privacy of participants. This dataset is not for any privacy related analysis that can re-identify users.The UbiqLog tool is open source and accessible here:  [Web Link]
Labor Relations,https://archive.ics.uci.edu/ml/datasets/Labor+Relations,1988-11-01,Social,46980,Creators:  Collective Barganing Review montly publicationLabour Canada Industrial Relations Information ServiceOttawa Ontario K1A 0J2 Canada (819) 997-3117 The data includes all collective agreements reached in the business and personal services sector for locals with at least 500 members (teachers nurses university staff police etc) in Canada in 87 and first quarter of 88.    Donor:  Stan Matwin Computer Science DeptUniversity of Ottawa34 Somerset East K1N 9B4 (stan '@' uotcsi2.bitnet),Data was used to test 2 tier approach with learning from positive and negative examples
Robot Execution Failures,https://archive.ics.uci.edu/ml/datasets/Robot+Execution+Failures,1999-04-23,Physical,58610,Original Owner and Donor: Luis Seabra Lopes and Luis M. Camarinha-MatosUniversidade Nova de Lisboa Monte da Caparica Portugal,The donation includes 5 datasets each of them defining a different learning problem:     * LP1: failures in approach to grasp position    * LP2: failures in transfer of a part    * LP3: position of part after a transfer failure    * LP4: failures in approach to ungrasp position    * LP5: failures in motion with part In order to improve classification accuracy a set of five feature transformation strategies (based on statistical summary features discrete Fourier transform etc.) was defined and evaluated. This enabled an average improvement of 20% in accuracy. The most accessible reference is [Seabra Lopes and Camarinha-Matos 1998].
