,Algorithm,Anonymised Labels,Author,Column Name,Column Type,Description,File type,Image dimension,Keywords,License,No Columns,No Rows,Number of Downloads,Number of Views,Size,Summary,Title,URL,Updated
307,"[Classification,  Regression ]",,"Paulo Cortez, University of Minho, GuimarÃ£es, Portugal, http://www3.dsi.uminho.pt/pcortez ",,Multivariate ,"This data approach student achievement in secondary education of two Portuguese schools. The data attributes include student grades, demographic, social and school related features) and it was collected by using school reports and questionnaires. Two datasets are provided regarding the performance in two distinct subjects: Mathematics (mat) and Portuguese language (por). In [Cortez and Silva, 2008], the two datasets were modeled under binary/five-level classification and regression tasks. Important note: the target attribute G3 has a strong correlation with attributes G2 and G1. This occurs because G3 is the final year grade (issued at the 3rd period), while G1 and G2 correspond to the 1st and 2nd period grades. It is more difficult to predict G3 without G2 and G1, but such prediction is much more useful (see paper source for more details).",,,Social,,33,649,,273223,,Predict student performance in secondary education (high school). ,Student Performance,https://archive.ics.uci.edu/ml/datasets/Student+Performance,2014
308,"[Regression,  Clustering ]",,"Artur Trindade, artur.trindade '@' elergone.pt, Elergone, NORTE-07-0202-FEDER-038564Data type: TSTask: regression, clusteringNumber of Instances (records in your data set):370Number of Attributes (fields within each record):140256",,Time-Series ,Data set has no missing values.Values are in kW of each 15 min. To convert values in kWh values must be divided by 4.Each column represent one client. Some clients were created after 2011. In these cases consumption were considered zero.All time labels report to Portuguese hour. However all days present 96 measures (24*15). Every year in March time change day (which has only 23 hours) the values between 1:00 am and 2:00 am are zero for all points. Every year in October time change day (which has 25 hours) the values between 1:00 am and 2:00 am aggregate the consumption of two hours.,,,Computer,,140256,370,,32707,,"This data set contains electricity consumption of 370 points/clients.
",ElectricityLoadDiagrams20112014,https://archive.ics.uci.edu/ml/datasets/ElectricityLoadDiagrams20112014,2015
309,"[Classification,  Regression ]",,"Creators: Jordi Fonollosa (fonollosa '@'ucsd.edu) BioCircutis Institute University of California San Diego San Diego, California, USA  Donors of the Dataset:	Jordi Fonollosa (fonollosa '@'ucsd.edu) Ramon Huerta (rhuerta '@' ucsd.edu)",,"Multivariate, Time-Series ","This data set contains the acquired time series from 16 chemical sensors exposed to gas mixtures at varying concentration levels. In particular, we generated two gas mixtures: Ethylene and Methane in air, and Ethylene and CO in air. Each measurement was constructed by the continuous acquisition of the 16-sensor array signals for a duration of about 12 hours without interruption.  The data set was collected in a gas delivery platform facility at the ChemoSignals Laboratory in the BioCircuits Institute, University of California San Diego. The measurement system platform provides versatility for obtaining the desired concentrations of the chemical substances of interest with high accuracy and in a highly reproducible manner.  The sensor array included 16 chemical sensors (Figaro Inc., US) of 4 different types: TGS-2600, TGS-2602, TGS-2610, TGS-2620 (4 units of each type). The sensors were integrated with customized signal conditioning and control electronics. The operating voltage of the sensors, which controls the sensorsâ€™ operating temperature, was kept constant at 5 V for the whole duration of the experiments. The sensorsâ€™ conductivities were acquired continuously at a sampling frequency of 100 Hz. The sensor array was placed in a 60 ml measurement chamber, where the gas sample was injected at a constant flow of 300 ml/min. Each measurement was constructed by the continuous acquisition of the 16-sensor array signals while concentration levels changed randomly. For each measurement (each gas mixture), the signals were acquired continuously for about 12 hours without interruption.  The concentration transitions were set at random times (in the interval 80-120s) and to random concentration levels. The data set was constructed such that all possible transitions are present: increasing, decreasing, or setting to zero the concentration of one volatile while the concentration of the other volatile is kept constant (either at a fixed or at zero concentration level). At the beginning, ending, and approximately every 10,000 s, we inserted additional predefined concentration patterns with pure gas mixtures. The concentration ranges for Ethylene, Methane, and CO were selected such that the induced magnitudes of the sensor responses were similar. Moreover, for gas mixtures, lower concentration levels were favored. Therefore, the multivariate response of the sensors to the presented set of stimuli is challenging since none of the configurations (singlegas or mixture presentation) can be easily identified from the magnitude of sensorsâ€™ responses. In particular Ethylene concentration ranges from 0-20 ppm; 0-600 ppm for CO; and 0-300 ppm for Methane. The primary purpose of making this data set freely accessible on-line is to provide extensive and continuous time series acquired from chemical sensors to the sensor and artificial intelligence research communities to develop and test strategies to solve a wide variety of tasks. In particular, the data set may be useful to develop algorithms for continuous monitoring or improve response time of sensory systems. Also, the repetition of the same type of sensors in the array will allow further investigation on sensor variability (reproducibility of sensors of the same kind). Other interesting topics may include sensor failure (to what extent system predictions degrade when sensors start failing) or calibration transfer (whether the model for one sensor can be extended to other sensors). More information on the generated data set can be found in Fonollosa et al. 'Reservoir Computing compensates slow response of chemosensor arrays exposed to fast varying gas concentrations in continuous monitoring'; Sensors and Actuators B, 2015.  The data set can be used exclusively for research purposes. Commercial purposes are fully excluded. ",,,Computer,,19,4178504,,32686,,"The data set contains the recordings of 16 chemical sensors exposed to two dynamic gas mixtures at varying concentrations. For each mixture, signals were acquired continuously during 12 hours.",Gas sensor array under dynamic gas mixtures,https://archive.ics.uci.edu/ml/datasets/Gas+sensor+array+under+dynamic+gas+mixtures,2015
310,"[Classification,  Causal-Discovery ]",,"Jun Liu(liukeen '@' mail.xjtu.cn), Hao Chen(lechenhao '@' gmail.com) , Mengting Zhan, Jianhong Mi,Yanzhang Lv MOEKLINNS Lab, Department of Computer Science ,Xi'an Jiaotong University, China",,"Multivariate, Univariate, Sequential, Text ",Our dataset is used by us to explore spammers in microblog and you can access our demo system at [Web Link]Please add :8080 after the domain name as port. The repository webpage fails to parse the weblink when it's added in the source. (under inspection),,,Computer,,20,221579,,28122,,MicroblogPCU data is crawled from sina weibo microblog[http://weibo.com/]. This data can be used to study machine learning methods  as well as do some social network research. ,microblogPCU,https://archive.ics.uci.edu/ml/datasets/microblogPCU,2015
311,[Classification ],,"Name: Mehmet VurkaÃ§, Ph.D.E-mail address: mehmet.vurkac '@' gmail.com, mehmet.vurkac '@' oit.edu, engineer '@' fastmail.com Institutions: Oregon Institute of Technology (current), Portland State University (where data were obtained)Other contact information: Daytime phone: 1-541-885-1258",,Multivariate ,"The data consist of 16 binary inputs and one 'four-bit' one-hot classification output. The 16-bit inputs are binary-valued attack-point vectors. 1 indicates the substantial presence (0, absence) of an onset (note start) in a certain time window during one bar of 4/4 time music (not limited to percussion, hence *onset* vectors without duration) quantized to 16th-note subdivisions. Each vector has 16 positions in which there may be or not be an onset. The output classes (left to right: neutral, reverse clave, forward clave, and incoherent) were determined through the music-theoretic/ethnomusicological portion of the my dissertation studies, based on both double-blind listening tests and informal interviews with with four professional master-musicians, as well as decades of studying the music. Future uploads (subject only to formatting) can include an additional column of fuzzy descriptors (of the degree of match to the output class).",,,Other,,20,10800,,18207,,The data are binary attack-point vectors and their clave-direction class(es) according to the partido-alto-based paradigm.,Firm-Teacher_Clave-Direction_Classification,https://archive.ics.uci.edu/ml/datasets/Firm-Teacher_Clave-Direction_Classification,2015
312,[Classification ],,"Owner of database: Martyna Bator (University of Applied Sciences, Ostwestfalen-Lippe, martyna.bator '@' hs-owl.de)Donor of database: Martyna Bator (University of Applied Sciences, Ostwestfalen-Lippe, martyna.bator '@' hs-owl.de)",,Multivariate ,"Features are extracted from electric current drive signals. The drive has intact and defective components. This results in 11 different classes with different conditions. Each condition has been measured several times by 12 different operating conditions, this means by different speeds, load moments and load forces. The current signals are measured with a current probe and an oscilloscope on two phases.",,,Computer,,49,58509,,35761,,Features are extracted from motor current. The motor has intact and defective components. This results in 11 different classes with different conditions. ,Dataset for Sensorless Drive Diagnosis,https://archive.ics.uci.edu/ml/datasets/Dataset+for+Sensorless+Drive+Diagnosis,2015
313,"[Classification,  Clustering ]",,"Dr. Prithwijit Guha , Raghvendra D. Kannao and Ravishankar SoniMultimedia Analytics Lab, Department of Electrical and Electronics Engineering, Indian Institute of Technology, Guwahati, Indiardkannao '@' gmail.com , prithwijit.guha '@' gmail.com ",,Multivariate ,"Automatic identification of commercial blocks in news videos finds a lot of applications in the domain of television broadcast analysis and monitoring. Commercials occupy almost 40-60%  of total air time. Manual segmentation of commercials from thousands of TV news channels is time consuming, and economically infeasible hence prompts the need for machine learning based Method. Classifying TV News commercials is a semantic video classification problem. TV News commercials on particular news channel are combinations of video shots uniquely characterized by audio-visual presentation. Hence various audio visual features extracted from video shots are widely used for TV commercial classification.  Indian News channels do not follow any particular news presentation format, have large variability and  dynamic nature presenting a challenging machine learning problem.  Features from 150 Hours of broadcast news videos from 5 different ( 3 Indian and  2 International News channels)  news channels. Viz. CNNIBN, NDTV 24X7, TIMESNOW, BBC and CNN are presented in this dataset.  Videos are recorded at resolution of 720 X 576 at 25 fps  using a DVR and set top box. 3 Indian channels are recorded concurrently while 2 International are recorded together. Feature file preserves the order of occurrence of shots.  ",,,Computer,,12,129685,,42574,,TV Commercials data set consists of  standard audio-visual features of video shots extracted from 150 hours of TV news broadcast of 3 Indian and 2 international news channels ( 30 Hours each).  ,TV News Channel Commercial Detection Dataset,https://archive.ics.uci.edu/ml/datasets/TV+News+Channel+Commercial+Detection+Dataset,2015
314,[Classification ],,"Rami Mustafa A Mohammad ( University of Huddersfield, rami.mohammad '@' hud.ac.uk, rami.mustafa.a '@' gmail.com)Lee McCluskey (University of Huddersfield,t.l.mccluskey '@' hud.ac.uk ) Fadi Thabtah (Canadian University of Dubai,fadi '@' cud.ac.ae)",, ,"One of the challenges faced by our research was the unavailability of reliable training datasets. In fact this challenge faces any researcher in the field. However, although plenty of articles about predicting phishing websites have been disseminated these days, no reliable training dataset has been published publically, may be because there is no agreement in literature on the definitive features that characterize phishing webpages, hence it is difficult to shape a dataset that covers all possible features. In this dataset, we shed light on the important features that have proved to be sound and effective in predicting phishing websites. In addition, we propose some new features.",,,Computer Security,,30,2456,,70109,,"This dataset collected mainly from: PhishTank archive, MillerSmiles archive, Google’s searching operators.",Phishing Websites,https://archive.ics.uci.edu/ml/datasets/Phishing+Websites,2015
315,[Regression ],,"D. Lucas (ddlucas .at. alum.mit.edu), Lawrence Livermore National Laboratory. This data was created under work funded by the National Institute of Standards and Technology and Laboratory Directed Research and Development projects at the Lawrence Livermore National Laboratory. The work was performed under the auspices of the US Department of Energy by Lawrence Livermore National Laboratory under Contract DE-AC52-07NA27344, and is released under UCRL number LLNL-MISC-668913. ",,"Multivariate, Time-Series ","This data set contains time series of greenhouse gas (GHG) concentrations at 2921 grid cells in California created using simulations of the Weather Research and Forecast model with Chemistry (WRF-Chem). Each grid cell covers an area of 12 km by 12 km, and there is one data file per grid cell. Each file contains 16 time series of GHG concentrations. The data points in the time series are spaced 6 hours apart (4 samples per day) over the period May 10 â€“ July 31, 2010. The first 15 rows are time series of GHG tracers released from 14 distinct spatial regions in California and one outside of California. The last row corresponds to the time series of â€œsynthetic GHG observationsâ€ generated with EDGAR emissions of HFC-134a scaled by a factor 0.7 and with noise added. Using this data, the goals are to (1) use inverse methods to determine the optimal values of the weights in the weighted sum of 15 tracers that best matches the synthetic observations, (2) and use optimization methods to determine the best locations to observe GHGs to constrain the inversion. We used a Bayesian method for (1) and genetic algorithms for (2).  Further details about the data and methods are given in the publication 'Designing optimal greenhouse gas observing networks that consider performance and cost,' Geoscientific Instrumentation Methods and Data Systems.",,,Physical,,5232,2921,,30115,,"Design an observing network to monitor emissions of a greenhouse gas (GHG) in California given time series of synthetic observations and tracers from weather model simulations.
",Greenhouse Gas Observing Network,https://archive.ics.uci.edu/ml/datasets/Greenhouse+Gas+Observing+Network,2015
316,[Classification ],,"1. Dr. Balint Antal, Department of Computer Graphics and Image ProcessingFaculty of Informatics, University of Debrecen, 4010, Debrecen, POB 12, Hungaryantal.balint '@' inf.unideb.hu 2. Dr. Andras Hajdu, Department of Computer Graphics and Image ProcessingFaculty of Informatics, University of Debrecen, 4010, Debrecen, POB 12, Hungaryhajdu.andras '@' inf.unideb.hu",,Multivariate ,"This dataset contains features extracted from the Messidor image set to predict whether an image contains signs of diabetic retinopathy or not. All features represent either a detected lesion, a descriptive feature of a anatomical part or an image-level descriptor. The underlying method image analysis and feature extraction as well as our classification technique is described in Balint Antal, Andras Hajdu: An ensemble-based system for automatic screening of diabetic retinopathy, Knowledge-Based Systems 60 (April 2014), 20-27. The image set (Messidor) is available at [Web Link].",,,Life,,20,1151,,52041,,This dataset contains features extracted from the Messidor image set to predict whether an image contains signs of diabetic retinopathy or not. ,Diabetic Retinopathy Debrecen Data Set,https://archive.ics.uci.edu/ml/datasets/Diabetic+Retinopathy+Debrecen+Data+Set,2014
317,[Classification ],,"Thorsteinn Rögnvaldsson, denni63 '@' gmail.com, Halmstad University.",,Multivariate ,"Past Usage:   (a) Rögnvaldsson, You and Garwicz (2015) 'State of the art prediction of HIV-1 protease        cleavage sites', Bioinformatics, vol 31 (8), pp. 1204-1210.       - Discusses the characteristics of the four data sets.       - It is shown that a linear SVM with standard orthogonal encoding is the best         predictor when tested across data sets. The AUC (Area Under the ROC Curve)         values are listed below:               Test data  746         1625        Schilling   Impens   Train data   746                   -           0.982       0.870       0.833   1625                  0.981       -           0.855       0.811   Schilling             0.933       0.935       -           0.911   Impens                0.902       0.894       0.929       -   The 746 and 1625 data sets share many patterns.    (b) Kontijevskis, Wikberg and Komorowski (2007) 'Computational Proteomics Analysis of HIV-1 Protease        Interactome'. Proteins: Structure, Function, and Bioinformatics, 68, 305â€“312.        Introduced the 1625 data set and used rough set theory on it.       Note: the 1625 data set used by Kontijevskis et al. is not identical to the 1625 data       set here, there is one octamer that has a different label (same octamer as for the       746 data set).   (c) You, Garwicz and Rögnvaldsson (2005) 'Comprehensive Bioinformatic Analysis of the Specificity        of Human Immunodeficiency Virus Type 1 Protease'. Journal of Virology, 79, 12477â€“12486.        Introduced the 746 data set and explored linear classifiers plus representations       based on amino acid properties.       Note: the 746 data set used by You et al. is not identical to the 746 data       set here, there is one octamer that has a different label (same octamer as for the       1625 data set).Other relevant information   The data sets have appeared in earlier publications (see references in Rögnvaldsson et al. 2015).    However, corrections have been made to them here.    Details on references where data has been collected are provided for the 746 and the 1625 data set.    The origins of the Schilling data and the Impens data are described in the paper Rögnvaldsson et al., 2015.",,,Life,,1,6590,,34368,,The data contains lists of octamers (8 amino acids) and a flag (-1 or 1) depending on whether HIV-1 protease will cleave in the central position (between amino acids 4 and 5).,HIV-1 protease cleavage,https://archive.ics.uci.edu/ml/datasets/HIV-1+protease+cleavage,2015
318,[Classification ],,Dimitrios Kotzias dkotzias '@' ics.uci.edu,,Text ,"This dataset was created for the Paper 'From Group to Individual Labels using Deep Features', Kotzias et. al,. KDD 2015Please cite the paper if you want to use it :) It contains sentences labelled with positive or negative sentiment. =======Format:=======sentence 	 score    =======Details:=======Score is either 1 (for positive) or 0 (for negative)	The sentences come from three different websites/fields: imdb.comamazon.comyelp.com For each website, there exist 500 positive and 500 negative sentences. Those were selected randomly for larger datasets of reviews. We attempted to select sentences that have a clearly positive or negative connotaton, the goal was for no neutral sentences to be selected. ",,,Other,, ,3000,,72675,,The dataset contains sentences labelled with positive or negative sentiment.,Sentiment Labelled Sentences,https://archive.ics.uci.edu/ml/datasets/Sentiment+Labelled+Sentences,2015
319,"[Classification,  Regression ]",,"Kelwin Fernandes (kafc â€˜@â€™ inesctec.pt, kelwinfc â€™@â€™ gmail.com) - INESC TEC, Porto, Portugal/Universidade do Porto, Portugal.Pedro Vinagre (pedro.vinagre.sousa â€™@â€™ gmail.com) - ALGORITMI Research Centre, Universidade do Minho, PortugalPaulo Cortez - ALGORITMI Research Centre, Universidade do Minho, PortugalPedro Sernadela - Universidade de Aveiro",,Multivariate ,"* The articles were published by Mashable (www.mashable.com) and their content as the rights to reproduce it belongs to them. Hence, this dataset does not share the original content but some statistics associated with it. The original content be publicly accessed and retrieved using the provided urls.* Acquisition date: January 8, 2015* The estimated relative performance values were estimated by the authors using a Random Forest classifier and a rolling windows as assessment method.  See their article for more details on how the relative performance values were set.",,,Business,,61,39797,,152566,,This dataset summarizes a heterogeneous set of features about articles published by Mashable in a period of two years. The goal is to predict the number of shares in social networks (popularity).,Online News Popularity,https://archive.ics.uci.edu/ml/datasets/Online+News+Popularity,2015
320,[Classification ],,Brian Johnsonjohnson '@' iges.or.jp Institute for Global Environmental Strategies ,,Multivariate ,"This data set contains training and testing data from a remote sensing study which mapped different forest types based on their spectral characteristics at visible-to-near infrared wavelengths, using ASTER satellite imagery. The output (forest type map) can be used to identify and/or quantify the ecosystem services (e.g. carbon storage, erosion protection) provided by the forest.",,,Life,,27,326,,34060,,Multi-temporal remote sensing data of a forested area in Japan. The goal is to map different forest types using spectral data.,Forest type mapping,https://archive.ics.uci.edu/ml/datasets/Forest+type+mapping,2015
321,"[Regression,  Clustering,  Causal-Discovery ]",,"E. Aibar, J. LladÃ³s, A. Meseguer, J. MinguillÃ³n (jminguillona[at]uoc[dot]edu), M. Lerga. Universitat Oberta de Catalunya, Barcelona, Spain.",,Multivariate ,"Ongoing research on university faculty perceptions and practices of using Wikipedia as a teaching resource. Based on a Technology Acceptance Model, the relationships within the internal and external constructs of the model are analyzed. Both the perception of colleaguesâ€™ opinion about Wikipedia and the perceived quality of the information in Wikipedia play a central role in the obtained model. ",,,Social,,53,913,,27568,,Survey of faculty members from two Spanish universities on teaching uses of Wikipedia,wiki4HE,https://archive.ics.uci.edu/ml/datasets/wiki4HE,2015
322,[Regression ],,"Tewodros Deneke, tdeneke '@' abo.fi ",,Multivariate ,"The presented dataset is composed of two tsv files named 'youtube_videos.tsv' and 'transcoding_mesurment.tsv'. The first contains 10 columns of fundamental video characteristics for 1.6 million youtube videos; It contains YouTube video id, duration, bitrate(total in Kbits), bitrate(video bitrate in Kbits), height(in pixle), width(in pixles), framrate, estimated framerate, codec, category, and direct video link. This dataset can be used to gain insightin characteristics of consumer videos found on UGC(Youtube). The second file of our dataset contains 20 columns(see column names for names) which include input and output video characteristics along with their transcoding time and memory resource requirements while transcoding videos to diffrent but valid formats. The second dataset was collected based on experiments on an Intel i7-3720QM CPU through randomly picking two rows from the first dataset and using these as input and output parameters of a video transcoding application, ffmpeg 4 . In section 6 we will use the second dataset to build a transcoding time predictionmodel and show the significance of our datasets.",,,Computer,,11,168286,,26248,,The dataset contains a million randomly sampled video instances listing 10 fundamental video characteristics along with the YouTube video ID. ,Online Video Characteristics and Transcoding Time Dataset,https://archive.ics.uci.edu/ml/datasets/Online+Video+Characteristics+and+Transcoding+Time+Dataset,2015
323,[Classification ],," Source: 			 Dr.P.Soundarapandian.M.D.,D.M			(Senior Consultant Nephrologist), 			Apollo  Hospitals, 			Managiri,			Madurai Main Road, 			Karaikudi,			Tamilnadu,			India.  Creator: 			L.Jerlin Rubini(Research Scholar)			Alagappa University,			EmailId   :jel.jerlin '@' gmail.com 			ContactNo :+91-9597231281  Guided by: 			Dr.P.Eswaran Assistant Professor,			Department of Computer Science and Engineering,			Alagappa University,			Karaikudi,			Tamilnadu,			India.			Emailid:eswaranperumal '@' gmail.com",,Multivariate ,We use the following representation to collect the dataset                        age		-	age				bp		-	blood pressure			sg		-	specific gravity			al		-   	albumin			su		-	sugar			rbc		-	red blood cells			pc		-	pus cell			pcc		-	pus cell clumps			ba		-	bacteria			bgr		-	blood glucose random			bu		-	blood urea			sc		-	serum creatinine			sod		-	sodium			pot		-	potassium			hemo		-	hemoglobin			pcv		-	packed cell volume			wc		-	white blood cell count			rc		-	red blood cell count			htn		-	hypertension			dm		-	diabetes mellitus			cad		-	coronary artery disease			appet		-	appetite			pe		-	pedal edema			ane		-	anemia			class		-	class	,,,Other,,25,400,,84573,,This dataset can be used to predict the chronic kidney disease and it can be collected from the hospital nearly 2 months of period.,Chronic_Kidney_Disease,https://archive.ics.uci.edu/ml/datasets/Chronic_Kidney_Disease,2015
324,[Classification ],,"(a) Original owners of data: ZZAlpha Ltd., 4729 E. Sunrise #109, Tucson AZ 85718 USA, info '@' zzalpha.com    (b) Donor of database: Kevin Pratt, Chief Scientist, ZZAlpha Ltd. on behalf of ZZAlpha Ltd.",,"Sequential, Time-Series ","1. Title of Database: Machine Learning based ZZAlpha Stock Recommendations2. Sources:   (a) Original owners of data: ZZAlpha Ltd., 4729 E. Sunrise #109, Tucson AZ 85718 USA, info '@' zzalpha.com    (b) Donor of database: Kevin Pratt, Chief Scientist, ZZAlpha Ltd. on behalf of ZZAlpha Ltd.   (c) Date received: 6-Jun-2015 3. Past Usage:   (a) Pratt, Kevin.  Proof Protocol for a Machine Learning Technique Making Longitudinal Predictions in Dynamic Contexts. (ACM KDD 2015)    (b) Attribute predicted: for each stock in each portfolio, opening price change over 5 trading days    (c) Indication of study's results.  Significant predictions in multiple portfolios.  See publications.4. Relevant Information Paragraph:   The files were zipped (on a Windows machine) by year.   The data here are the ZZAlphaÂ® machine learning recommendations made for various US traded stock portfolios the morning of each day during the 3 year period Jan 1, 2012 - Dec 31, 2014.  They are deposited here in .txt form for easy accessibility (and as a convenience to users, have had results included for each recommendation).  A .pdf version of the original recommendations file was certified by Digistamp (.p7s) at time of creation each day for stringent auditability.  Please contact info '@' zzalpha.com if you desire to purchase the set of the certified .pdf, .p7s file pairs.  The certified set contains only the recommendations, not the results included in the deposited set here.For convenience, the data deposited includes calculated returns (outcomes) for each recommended transaction.  The returns obviously were not part of the original recommendations when made, but were appended later.  Returns were calculated several days after sale day.The date inside the file reflects the date for which morning trading recommendation was made.  The evaluation of the recommendations, as described in the KDD 2015 article mentioned above, involved comparison of the opening price of the day of recommendation to the opening price five market days later.  As mentioned in the article, evaluation must be adjusted by trading costs and constraints.A recommendation portfolio consists of a segment, a size (1,2,5,10,20), and a side (Long or Short),  and the ticker symbols of the companies recommended for price increase (or decrease in the case of Short) from the opening price to the opening price 5 trading days later.The stocks included must first pass a general screen of $3 recent price and 80,000 recent daily average share volume for inclusion.  Thus penny stocks and micro-caps are not present and even some large cap, but very low prices stocks are omitted.  All stocks must be traded on NYSE, NASDAQ or AMEX at the time of recommendation.The daily file contains all recommendations for all portfolios for the day.  Both long and short recommendations are included. Long entries have duplicates. These are the portfolios:  (Note other portfolios limited to ETFs (exchange traded funds) may be listed each day.  Due to data issues those are incomplete across the time period.)  5. Number of Instances: 755 market days, 41 portfolios, 5 sizes of portfolios, Long and Short6. Number of Attributes    The data set submitted does not include attributes used for prediction. This data is provided as a benchmark of machine learning results in a longitudinal 3 yr period.  Here is a sample content of a line in the files: Jan 04 2005_006 Big_100_5_LONG_SHORT_F.pdf, L, AA 0.959 =25.97/27.09, AMAT 0.950 =14.70/15.46, EBAY 0.930 =53.33/57.31, PFE 0.995 =19.84/19.95, UPS 0.980 =71.72/73.16, Avg of 5 = 0.963 The above indicates recommendations were made before market open on Jan 4, 2005.  This portfolio was limited to the biggest 100 cap stocks and was of size 5.  It was for 'L' or long recommendations.  The five stocks recommended are shown by ticker, result, price at sale divided by price at purchase.  The average for the five is shown.  Note: The user of this data set must implement its own parser of these files.  The contributor does NOT provide one.Note: The prices used are adjusted prices based on data when results were calculated.  Back-calculation of the adjusted prices using newer data may give different prices, but the ratios will remain the same (+/- rounding errors). 7. For Each Attribute: Not applicable8. Missing Attribute Values: On some days for a few portfolios, results may be missing.  These are tagged as 'missing'.9. Class Distribution: Distribution of positive and negative outcomes vary by portfolio, size, and day. ",,,Business,,0,314080,,32628,,"The data here are the ZZAlpha® machine learning recommendations made for various US traded stock portfolios the morning of each day during the 3 year period Jan 1, 2012 - Dec 31, 2014.  ",Machine Learning based ZZAlpha Ltd. Stock Recommendations 2012-2014,https://archive.ics.uci.edu/ml/datasets/Machine+Learning+based+ZZAlpha+Ltd.+Stock+Recommendations+2012-2014,2015
325,"[Classification,  Clustering ]",,The leaves were taken from plants in the farm of the University of Mauritius and nearby locations. Donors: Trishen Munisamitrishen.munisami '@' gmail.com  Mahess Ramsurnramsurn.mahess '@' umail.uom.ac.mu  Somveer Kishnahs.kishnah '@' uom.ac.mu  Sameerchand Pudaruthsameerchand.pudaruth '@' gmail.com,,Multivariate ,- The leaves were placed on a white background and then photographed. - The pictures were taken in broad daylight to ensure optimum light intensity.,,,Other,,20,637,,34443,,20 photos of leaves for each of 32 different species.,Folio,https://archive.ics.uci.edu/ml/datasets/Folio,2015
326,"[Clustering,  Causal-Discovery ]",,Challenge Chair: Luis Moreira-MatiasSteering Committee: - Michel Ferreira - Joao Mendes-Moreiratst.challenge '@' ecmlpkdd2015.orghttp://www.geolink.pt/ecmlpkdd2015-challenge/whoweare.html,,"Multivariate, Sequential, Time-Series, Domain-Theory ",For complete information see the official challenge page:[Web Link],,,Computer,,9,1710671,,51386,,"An accurate dataset describing trajectories performed by all the 442 taxis running in the city of Porto, in Portugal.
","Taxi Service Trajectory - Prediction Challenge, ECML PKDD 2015",https://archive.ics.uci.edu/ml/datasets/Taxi+Service+Trajectory+-+Prediction+Challenge%2C+ECML+PKDD+2015,2015
327,"[Classification,  Regression ]",,"-- Creators: Mohamad Kachuee, Mohammad Mahdi Kiani, Hoda Mohammadzade, Mahdi Shabany             Department of Electrical Engineering, Sharif University of Technology, Tehran, Iran-- Donor: Mohamad Kachuee (m.kachuee '@' gmail.com)-- Date: July, 2015",,Multivariate ,"The main goal of this data set is providing clean and valid signals for designing cuff-less blood pressure estimation algorithms. The raw electrocardiogram (ECG), photoplethysmograph (PPG), and arterial blood pressure (ABP) signals are originally collected from the physionet.org and then some preprocessing and validation performed on them. (For more information about the process please refer to our paper)",,,Life,,3,12000,,57561,,This Data set provides preprocessed and cleaned vital signals which can be used in designing algorithms for cuff-less estimation of the blood pressure.,Cuff-Less Blood Pressure Estimation,https://archive.ics.uci.edu/ml/datasets/Cuff-Less+Blood+Pressure+Estimation,2015
328,[Classification ],,"Jorge L. Reyes-Ortiz(1,2), Davide Anguita(1), Luca Oneto(1) and Xavier Parra(2)1 - Smartlab, DIBRIS - UniversitÃ   degli Studi di Genova, Genoa (16145), Italy. 2 - CETpD - Universitat PolitÃ¨cnica de Catalunya. Vilanova i la GeltrÃº (08800), Spainhar '@' smartlab.ws www.smartlab.ws",,"Multivariate, Time-Series ","The experiments were carried out with a group of 30 volunteers within an age bracket of 19-48 years. They performed a protocol of activities composed of six basic activities: three static postures (standing, sitting, lying) and three dynamic activities (walking, walking downstairs and walking upstairs). The experiment also included postural transitions that occurred between the static postures. These are: stand-to-sit, sit-to-stand, sit-to-lie, lie-to-sit, stand-to-lie, and lie-to-stand. All the participants were wearing a smartphone (Samsung Galaxy S II) on the waist during the experiment execution. We captured 3-axial linear acceleration and 3-axial angular velocity at a constant rate of 50Hz using the embedded accelerometer and gyroscope of the device. The experiments were video-recorded to label the data manually. The obtained dataset was randomly partitioned into two sets, where 70% of the volunteers was selected for generating the training data and 30% the test data.  The sensor signals (accelerometer and gyroscope) were pre-processed by applying noise filters and then sampled in fixed-width sliding windows of 2.56 sec and 50% overlap (128 readings/window). The sensor acceleration signal, which has gravitational and body motion components, was separated using a Butterworth low-pass filter into body acceleration and gravity. The gravitational force is assumed to have only low frequency components, therefore a filter with 0.3 Hz cutoff frequency was used. From each window, a vector of 561 features was obtained by calculating variables from the time and frequency domain. See 'features_info.txt' for more details.  This dataset is an updated version of the UCI Human Activity Recognition Using smartphones Dataset that can be found at: [Web Link] This version provides the original raw inertial signals from the smartphone sensors, instead of the ones pre-processed into windows which were provided in version 1. This change was done in order to be able to make online tests with the raw data. Moreover, the activity labels were updated in order to include postural transitions that were not part of the previous version of the dataset. ",,,Life,,561,10929,,81090,,"Activity recognition data set built from the recordings of 30 subjects performing basic activities and postural transitions while carrying a waist-mounted smartphone with embedded inertial sensors.
",Smartphone-Based Recognition of Human Activities and Postural Transitions,https://archive.ics.uci.edu/ml/datasets/Smartphone-Based+Recognition+of+Human+Activities+and+Postural+Transitions,2015
