,Anonymised Labels ,Author,Column Name,Column Type,Description,File Type,Image Dimension,Keywords,License,No Columns,No Rows,Number of Downloads,Number of views,Size,Summary,Title,Updated,Url
1405,,City of San Francisco,,,This dataset captures monthly data from HSS' phone system and includes metrics pertaining to Calls Answered Average Speed of Answer Abandonment Rate In-person Assistance. This data supports the City's Performance Measures requirements.,CSV,,"[call-center, metrics, performance]",See this page for license information.,,,12,12,,,Call Center Metrics for the Health Service System,2017-09-29,https://catalog.data.gov/dataset/call-center-metrics-for-the-health-service-system
1406,,U.S. Department of Health & Human Services,,,Analysis reported in Post-Discharge Follow-Up Visits and Hospital Utilization by Medicare Patients 2007-2010 published in Volume 4 Issue 2 of Medicare and Medicaid Research Review shows an increase in the likelihood of receiving a community-based follow-up visit within 30 days of discharge and a slight decrease in the number of days before such visits took place for Medicare patients with an initial admission for heart failure (HF) acute myocardial infarction (AMI) or community-acquired pneumonia (CAP). The largest increase was in 2009 when CMS began publicly reporting hospital-level readmission rates for these conditions. Patients who were Black Hispanic or enrolled in Medicaid or Medicare Advantage were less likely to have timely post-discharge follow-up visits.,,,"[community-treatment, emergency-room-depa..., hospital, medicare, national, providers, publications, quality, quality-improvement..., readmissions, utilization]",No license information was provided. If this work was prepared by an officer or employee of the United States government as part of that person's official duties it is considered a U.S. Government Work.,,,12,12,,,Post-Discharge Follow-Up Visits and Hospital Utilization,2015-10-30,https://catalog.data.gov/dataset/post-discharge-follow-up-visits-and-hospital-utilization
1407,,Department of Commerce,,,The Quarterly Summary of State and Local Government Tax Revenue provides quarterly estimates of state and local government tax revenue at a national level as well as detailed tax revenue data for individual states.  This quarterly survey has been conducted continuously since 1962. The information contained in this survey is the most current information available on a nationwide basis for government tax collections.,HTML,,"[alcohol, amusements, automobile, beverages, boat, businesses, capital, cigarette, collections, compulsory, corporate, corporations, death, deed, estimates, existing, expenditures, facilities, fees, fiscal, fishing, flat, fuel, gasoline, gift, government, gross, highway, hunting, income, inspection, insurance, interest, intergovernmental, land, lease, license, local, marriage, mortgage, motor, motor-fuel, motor-vehicle, n-e-c, nonbusiness, occupations, oil, parimutuels, professional, property, public, quarterly, rate, receipts, registration, revenue, securities, selective, severance, state, stock, surplus, tax, taxes-sales, title, tobacco, transactions, transfer, u-s, unincorporated, utilities, vehicle]",U.S. Government Work,,,12,12,,,Quarterly Summary of State and Local Government Tax Revenue,2016-06-21,https://catalog.data.gov/dataset/quarterly-summary-of-state-and-local-government-tax-revenue
1408,,"National Oceanic and Atmospheric Administration, Department of Commerce",,,Climate Prediction Center (CPC) Palmer Drought Severity and Crop Moisture Indices are computed for the 344 U.S. Climate Divisions on a weekly basis based on a minimum of the previous 4 weeks (1 month) of observed temperatures and precipitation. Each climate division record includes a weekly averaged atmospheric temperature precipitation soil moisture in the upper and lower layers percentage of flood capacity potential evaporation runoff crop moisture and change from previous week monthly moisture anomaly preliminary or final Palmer Drought Severity Index (PDSI) and precipitation needed to end drought value. The CPC preliminary data are collected in near real-time from ground stations throughout the U.S. and are displayed in tabular form. The preliminary values are replaced by quality controlled data from the National Climatic Data Center with an approximate time lag of 3 to 6 months.,ASCII,,"[atmosphere, united states of am..., north america, continent, temperature, vertical location, land surface, precipitation amount, atmospheric tempera..., crop moisture index, climate indicators, palmer drought seve..., drought, precipitation, palmer drought crop..., atmospheric phenomena, pdsi, limatologymeteorolo..., drought/precipitati..., air temperature, surface air tempera..., z index]",U.S. Government Work,,,12,12,,,Climate Prediction Center (CPC) Palmer Drought and Crop Moisture Indices,,https://catalog.data.gov/dataset/climate-prediction-center-cpc-palmer-drought-and-crop-moisture-indices
1409,,Department of Energy,,,Monthly and yearly forecasts of energy production consumption and price at the national level and by energy type.  Monthly forecasts extend 18 months and yearly forecasts extend to 2040.  International yearly projections by region extend to 2040.,HTML,,"[annual-data, coal-price, coal-production, coal-reserves, coal-stocks, electric-capacity, electricity-fuel-st..., electricity-generation, electricity-price, electricity-sales, energy-prices, historical-data, international-petro..., monthly-data, natural-gas-price, natural-gas-production, natural-gas-reserves, natural-gas-stocks, petroleum-consumption, petroleum-price, petroleum-production, petroleum-reserves, petroleum-stocks, time-series]",Other (Public Domain),,,12,12,,,Energy Analysis & Projections,2014-10-06,https://catalog.data.gov/dataset/energy-analysis-projections
1410,,U.S. Department of Health & Human Services,,,Medicaid enrollment by state for all 50 states and DC.,,,[medicaid-managed-care],See this page for license information.,,,12,12,,,Medicaid Enrollment by State,2016-08-04,https://catalog.data.gov/dataset/medicaid-enrollment-by-state-1b458
1411,,City of New York,,,Data on the buildings in the Times Square area,CSV,,"[crossroads, crossroads-of-the-w..., entertainment, food, manhattan, new-york, new-york-city, nyc, pedestrian, screens, theater, times-square, times-square-alliance, tourism]",No license information was provided.,,,12,12,,,Times Square Property Data (Commercial and Retail properties),2017-10-03,https://catalog.data.gov/dataset/times-square-property-data-commercial-and-retail-properties-79d5d
1412,,City of New York,,,GIS data FRESH boundaries where zoning and discretionary tax incentives are available for the development expansion and renovation of full line grocery stores and supermarkets.,KML,,"[boundary, cartography, dcp, development, geographic, grocery, incentive, location, map, promote, promotion, supermarket, zone, zoning]",No license information was provided.,,,12,12,,,FRESH Food Stores Zoning Boundaries,2017-02-07,https://catalog.data.gov/dataset/fresh
1413,,Department of the Interior,,,This data layer depicts the Special Designations that have been placed upon the lands and waters administered by the U.S. Fish and Wildlife Service (USFWS) in North America U.S. Trust Territories and Possessions. These special areas such as wilderness are primarily designated by the U.S. Congress. The primary source for this information is the USFWS Realty program.,ZIP,,"[waterfowl productio..., national monument, national fish hatchery, national seashore, national marine mon..., national wildlife r..., united states, wetland management ..., wilderness ar, national historic l..., natural area]",No license information was provided. If this work was prepared by an officer or employee of the United States government as part of that person's official duties it is considered a U.S. Government Work.,,,12,12,,,FWS Special Designation Areas,,https://catalog.data.gov/dataset/fws-special-designation-areas
1414,,State of North Dakota,,,This map layer is commonly called Baileys ecoregions and shows ecosystems of regional extent in the United States Puerto Rico and the U.S. Virgin Islands. Four levels of detail are included to show a hierarchy of ecosystems. The largest ecosystems are domains which are groups of related climates and which are differentiated based on precipitation and temperature. Divisions represent the climates within domains and are differentiated based on precipitation levels and patterns as well as temperature. Divisions are subdivided into provinces which are differentiated based on vegetation or other natural land covers. The finest level of detail is described by subregions called sections which are subdivisions of provinces based on terrain features. Also identified are mountainous areas that exhibit different ecological zones based on elevation.    Constraints Not to be used for navigation for informational purposes only. See Game and Fish disclaimer for more information.,data,,"[ecology, ecoregions, environment, geoscience]",See this page for license information.,,,12,12,,,Baileys Ecoregions,2017-04-07,https://catalog.data.gov/dataset/baileys-ecoregions
1415,,Department of Veterans Affairs,,,At the Department of Veterans Affairs (VA) our most important mission is to provide the high quality health care and benefits Veterans have earned and deserve — when and where they need it. To support that mission we measure and release patient access data.Regularly updated patient access data is available for all VA Medical Centers and Community-Based Outpatient Clinics including average wait times number of patients waiting for a scheduled appointment and number of patients that cannot be scheduled for an appointment in 90 days or less. Both completed and pending appointment data is available.Pending Scheduled appointments at a facility except surgery and procedures.Completed Completed appointments at a facility except surgery and procedures.,,,"[access, appointment, enrollee, ewl, health, healthcare, near, va, veteran, wait-list, wait-time]",Creative Commons CCZero,,,12,12,,,VA Veterans Health Administration Access Data,2015-07-26,https://catalog.data.gov/dataset/va-veterans-health-administration-access-data
1416,,State of North Dakota,,,This data layer depicts U.S. Bureau of Land Management surface interest of land parcels in North Dakota. The surface tracts were delineated from the U.S. Bureau of Land Management (BLM) Montana State Office    Constraints Not to be used for navigation for informational purposes only. See Game and Fish disclaimer for more information.,data,,"[blm, boundary, federal, land, management]",See this page for license information.,,,12,12,,,U.S. Bureau of Land Management Surface Lands,2017-08-10,https://catalog.data.gov/dataset/u-s-bureau-of-land-management-surface-lands
1417,,State of New York,,,Go to http//on.ny.gov/1xRIvPz on the New York Lottery website for past Cash 4 Life results and payouts.,CSV,,"[cash-4-life, new-york-lottery, results, winning]",No license information was provided.,,,12,12,,,Lottery Cash 4 Life Winning Numbers: Beginning 2014,2018-02-20,https://catalog.data.gov/dataset/lottery-cash-4-life-winning-numbers-beginning-2014
1418,,National Archives and Records Administration,,,SCTS supports the adjudication process of private background investigations and clearances for potential employees contractors interns and student workers.,,,"[internal, nara, national-archives, non-public]",No license information was provided. If this work was prepared by an officer or employee of the United States government as part of that person's official duties it is considered a U.S. Government Work.,,,12,12,,,Security Clearance Tracking System,2013-12-15,https://catalog.data.gov/dataset/security-clearance-tracking-system
1419,,"Army Corps of Engineers, Department of the Army, Department of Defense",,,The Joint Airborne Lidar Bathymetry Technical Center of Expertise (JALBTCX) plans to perform a coastal survey along the Gulf Coast in 2016 with funding provided by the US Army Corps of Engineers (USACE) National Coastal Mapping Program (NCMP). The data types to be collected include bathymetric and topographic lidar point data down-looking aerial imagery and hyperspectral imagery. The collection effort will follow the coastline and extend 500m inland and 1000m offshore or to bathymetric lidar extinction whichever comes first. Topographic lidar data will have a nominal sub-meter post-spacing. Where water conditions permit the bathymetric lidar data will have nominal 2m x 2m postings. Vertical accuracy of the topographic lidar data will meet or exceed RMSEZ=15 cm. Bathymetric lidar data will have a vertical accuracy of 30 cm 2-sigma. The aerial imagery will have a pixel size approximately 20cm and the hyperspectral imagery will be provided in 1m pixels containing 36 spectral bands between 375 - 1050 nm with 19 nm bandwidth. The data will be collected on the NAD83 ellipsoid using NGS published monuments as control. Final data will be tied horizontally to NAD83 (NSRS 2007) in geographic coordinates. Vertical measurements will be converted from NAD83 ellipsoid heights in meters to NAVD88 orthometric heights using the current Geoid model at the time of acquisition. Data products from this survey effort will include topographic and bathymetric lidar point clouds in LAS format an NAVD88 0m shoreline contour and a series of raster data products including topo/bathy digital elevation models (DEMs) true-color aerial image mosaics hyperspectral image mosaics laser reflectance images and basic landcover classification images. Images of water column properties (i.e. chlorophyll and CDOM concentrations) will also be generated. Within 6 months of completing the data acquisition these final data products will be available for public use in the absence of any unforeseen data processing delays.,Esri REST,,"[national coastal ma..., topography, bathymetry, jalbtcx, u.s. army corps of ..., mobile district, coastal, coastal zone mappin..., ncmpncdbraster, ncmpncdbshoreline, dod/usarmy/usace/sa..., casi, compact airborne sp..., cameras, lidar, light detection and..., oceans, coastal processes, shorelines, oceans, bathymetry/seafloor..., seafloor topography, land surface, topography, terrain elevation, human dimensions, land use/land cover, land use classes, oceans, coastal processes, coastal elevation, oceans, bathymetry/seafloor..., bathymetry, 014, imagerybasemapseart..., 010, elevation, 006, oceans, imagerybasemapseart..., location, oceans, elevation]",U.S. Government Work,,,12,12,,,"2016 USACE National Coastal Mapping Program (NCMP) Gulf Coast Lidar and Imagery Acquisition - Texas, Louisiana, Mississippi, Alabama and Florida",,https://catalog.data.gov/dataset/2016-usace-national-coastal-mapping-program-ncmp-gulf-coast-lidar-and-imagery-acquisition-texa
1420,,Department of Agriculture,,,The Census of Agriculture provides a detailed picture every five years of U.S. farms and ranches and the people who operate them. Conducted by USDA’s National Agricultural Statistics Service the 2012 Census of Agriculture collected more than six million data items directly from farmers. The Ag Census Web Maps application makes this information available at the county level through a few clicks. The maps and accompanying data help users visualize download and analyze Census of Agriculture data in a geospatial context.,HTML,,"[agriculture, cropland, crops-and-plants, data, economics, environment, farms, livestock-and-animals, nass, operators, united-states, us, usda, wms]",Creative Commons CCZero,,,12,12,,,2012 Census of Agriculture - Web Maps,2015-02-02,https://catalog.data.gov/dataset/2012-census-of-agriculture-web-maps
1421,,Kansas Data Access and Support Center,,,The U.S. Geological Survey has developed a National Elevation Database (NED). The NED is a seamless mosaic of best-available elevation data. The 7.5-minute elevation data for the conterminous United States are the primary initial source data. In addition to the availability of complete 7.5-minute data efficient processing methods were developed to filter production artifacts in the existing data convert to the NAD83 datum edge-match and fill slivers of missing data at quadrangle seams. One of the effects of the NED processing steps is a much-improved base of elevation data for calculating slope and hydrologic derivatives.,HTML,,"[elevation, earth science, land surface, topography, landforms, terrain elevation, 1-degree dem, 2-arc-second dem, 7.5-minute dem, cartography, dem, digital elevation m..., digital mapping, edc, eros, geodata, gis, mapping, raster, usgs]",No license information was provided.,,,12,12,,,National Elevation Dataset (NED),,https://catalog.data.gov/dataset/national-elevation-dataset-ned
1422,,State of New York,,,The Tuition Assistance Program (TAP) New York's largest student financial aid grant program helps eligible New York residents attending in-state post-secondary institutions pay for tuition.  TAP grants are based on the applicant’s and his or her family’s New York State taxable income.  This data includes TAP award recipients and dollar amounts by income age group and more beginning with academic year 2000,CSV,,"[education, postsecondary-schools, tap]",No license information was provided.,,,12,12,,,"Tuition Assistance Program (TAP) Recipients & Dollars by Income, Age Group and Program Information:  Beginning 2000",2017-11-29,https://catalog.data.gov/dataset/tuition-assistance-program-tap-recipients-dollars-by-income-age-group-and-program-informat
1423,,US Agency for International Development,,,This dataset brings together information collected since 2001 on PPPs that have been supported by USAID. For the purposes of this dataset a Public-Private Partnership is defined as a USAID-supported development project or initiative which engages the private sector (including corporations foundations and other non-governmental actors) as a core resource partner. Due to changes in Agency data collection systems standards and internal organization the data has been collected according to different mechanisms definitions and timeframes from 2001-2015 and therefore cannot be considered to be comprehensive of all PPPs during this period.,CSV,,"[gda, global-development-..., ppp, public-private-part...]",See this page for license information.,,,12,12,,,USAID Public-Private Partnerships Database,2016-08-05,https://catalog.data.gov/dataset/usaid-public-private-partnerships-database
1424,,Department of Transportation,,,County boundaries with shorelines cut in (NTAD). The TIGER/Line Files are shapefiles and related database files (.dbf) that are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB). The MTDB represents a seamless national file with no overlaps or gaps between parts however each TIGER/Line File is designed to stand alone as an independent data set or they can be combined to cover the entire nation. The primary legal divisions of most States are termed counties. In Louisiana these divisions are known as parishes. In Alaska which has no counties the equivalent entities are the organized boroughs city and boroughs and municipalities and for the unorganized area census areas. The latter are delineated cooperatively for statistical purposes by the State of Alaska and the Census Bureau. In four States (Maryland Missouri Nevada and Virginia) there are one or more incorporated places that are independent of any county organization and thus constitute primary divisions of their States. These incorporated places are known as independent cities and are treated as equivalent entities for purposes of data presentation. The District of Columbia and Guam have no primary divisions and each area is considered an equivalent entity for purposes of data presentation. The Census Bureau treats the following entities as equivalents of counties for purposes of data presentation Municipios in Puerto Rico Districts and Islands in American Samoa Municipalities in the Commonwealth of the Northern Mariana Islands and Islands in the U.S. Virgin Islands. The entire area of the United States Puerto Rico and the Island Areas is covered by counties or equivalent entities. The boundaries for counties and equivalent entities are mostly as of January 1 2013 primarily as reported through the Census Bureau's Boundary and Annexation Survey (BAS). However some changes made after January 2013 including the addition and deletion of counties are included.,SHP,,"[county, polygon, 2011, u.s., united states of am..., state or equivalent..., u.s.a, boundaries, 2015, 2014, line, 2016, gound, 2010, 2013, 2012]",U.S. Government Work,,,12,12,,,County Boundaries with Shorelines (National),,https://catalog.data.gov/dataset/county-boundaries-with-shorelines-national
1425,,State of Maryland,,,Nitrogen pollution from contributing sources in Bay watershed pounds per year. 1985 2007 and 2009 - 2012 progress; 2017 and 2025 targets. Data source EPA Phase 5.3.2 Watershed Model.,CSV,,"[bay, baystat, causes, chesapeake, nitrogen, pollution, watershed, wip]",No license information was provided.,,,12,12,,,Chesapeake Bay Pollution Loads - Nitrogen,2017-06-02,https://catalog.data.gov/dataset/chesapeake-bay-pollution-loads-nitrogen-2076b
1426,,Department of Energy,,,This dataset provides hourly electric load and potential demand response availability for different regions of the U.S.,PPTX,,"[demand-response, electric-load, smart-grid]",Creative Commons Attribution,,,12,12,,,Demand Response,2016-11-30T20:25:24Z,https://catalog.data.gov/dataset/demand-response-1cffe
1427,,Department of Veterans Affairs,,,The Veterans Health Administration (VHA) is increasingly dependent upon data.  Most of its employees generate and use vast amounts of data on a daily basis.  To improve our capacity for data analysis while providing the most efficient and the highest quality health care to our Veteran patients VHA working with the VA Office of Information and Technology implemented a health data warehouse.  Central to this plan is consolidating data from disparate sources into a coherent single logical data model.  The Corporate Data Warehouse (CDW) is the physical implementation of this logical data model at the enterprise level for VHA.   Although the CDW initially began to store data as early as 2006 a renewed effort began in 2010 to accelerate CDW's content by including more subject areas from Veterans Health Information Systems and Technology Architecture (VistA) and content from other existing national data systems.  CDW supports fully developed subject areas in its production environment as well as supporting rapid prototyping by extracting data directly from source systems with very minor data transformations.  The Regional Data Warehouses and the Veterans Integrated Service Network (VISN) Data Warehouses share content from CDW and allow for greater reporting flexibility at the local level throughout the VHA organization.,,,"[domain, health, sql, va, veteran, visn, vista, warehouse]",Creative Commons CCZero,,,12,12,,,Corporate Data Warehouse (CDW),2013-12-30,https://catalog.data.gov/dataset/corporate-data-warehouse-cdw
1428,,Department of Commerce,,,The Fourth Edition to the NIST-JANAF Thermochemical Tables has been assembled under the sponsorship of the Standard Reference Data Program at the National Institute of Standards and Technology.  It contains tables of recommended temperature-dependent values for the standard enthalpy of formation Gibbs (free) energy of formation the logarithm of the equilibrium constant of formation the heat capacity entropy enthalpy and Gibbs energy function for 48 elements and many of their compounds.,JSON,,[thermochemical-tables],See this page for license information.,,,12,12,,,NIST-JANAF Thermochemical Tables - SRD 13,2013-01-01,https://catalog.data.gov/dataset/nist-janaf-thermochemical-tables-srd-13
1429,,Department of Labor,,,The Quarterly Census of Employment and Wages (QCEW) program publishes a quarterly count of employment and wages reported by employers covering 98 percent of U.S. jobs available at the county MSA state and national levels by industry.  More information and details about the data provided can be found at http//www.bls.gov/cew,API,,"[employment, wages]",Creative Commons CCZero,,,12,12,,,Quarterly Census Employment and Wage - Area,2014,https://catalog.data.gov/dataset/quarterly-census-employment-and-wage-area
1430,,City of Seattle,,,Manual parking study details from citywide paid parking study presented by blockface and date/hour of study.  Most data is from spring of each year with some data sets including summer studies.  Study time periods    •   2014    •   2015    •   2016  Purpose To determine hourly parking occupancy for most paid blockfaces in Seattle,CSV,,"[annual-parking-study, disabled-parking, manual-study, occupancy, parking, parking-pricing-pro..., parking-study, sdot]",No license information was provided.,,,12,12,,,Annual Parking Study Data,2017-11-22,https://catalog.data.gov/dataset/annual-parking-study-data
1431,,"King County, Washington",,,List of social media presences maintained by King County agencies and officials,CSV,,"[blog, facebook, feed, flickr, pinterest, social-media, twitter, wordpress, youtube]",No license information was provided.,,,12,12,,,King County Social Media,2014-10-28,https://catalog.data.gov/dataset/king-county-social-media-6b32c
1432,,State of Arkansas,,,FEMA provides access to the National Flood Hazard Layer through a Web Map Service. The National Flood Hazard Layer is a computer database that contains FEMA's flood hazard map data. The data depict flood hazard information and supporting data used to develop the information. The primary hazard classifications are the 1 percent-annual-chance flood event the 0.2 percent-annual-chance flood event and areas of minimal flood hazard. Flood hazard and supporting data are developed using specifications for horizontal control consistent with 112000-scale mapping. If you plan to display maps from the National Flood Hazard Layer with other map data for official purposes ensure that the other information meets FEMA's standards for map accuracy. The NFHL data are from FEMA's Digital Flood Insurance Rate Map (DFIRM) databases. New data are added continually. The NFHL also contains changes to DFIRM data made by Letters of Map Revision (LOMRs). The service provides map images geo-referenced to the earth's surface using the North American Datum of 1983 Geodetic Reference System 80 coordinate system.,HTML,,"[dfirm, firm, fema flood hazard zone, dfirm database, special flood hazar..., digital flood insur..., cbrs, coastal barrier res..., riverine flooding, coastal flooding, nfip, base flood elevation, sfha, flood insurance rat..., floodway]",No license information was provided.,,,12,12,,,FEMA DFIRM Web Map Service,,https://catalog.data.gov/dataset/fema-dfirm-web-map-service
1433,,U.S. Department of Health & Human Services,,,Drug utilization data are reported by states for covered outpatient drugs that are paid for by state Medicaid agencies since the start of the Medicaid Drug Rebate Program. The data includes state drug name National Drug Code number of prescriptions and dollars reimbursed.,CSV,,"[drug-utilization, medicaid-reimbursem..., pharmacy]",See this page for license information.,,,12,12,,,State Drug Utilization Data 2013,2018-02-19,https://catalog.data.gov/dataset/state-drug-utilization-data-2013
1434,,U.S. Department of Health & Human Services,,,2011 to present.  BRFSS is a continuous state-based surveillance system that collects information about modifiable risk factors for chronic diseases and other leading causes of death.  Indicators from this data source have been computed by personnel in CDC's Division for Heart Disease and Stroke Prevention (DHDSP). This is one of the datasets provided by the National Cardiovascular Disease Surveillance System. The system is designed to integrate multiple indicators from many data sources to provide a comprehensive picture of the public health burden of CVDs and associated risk factors in the United States. The data are organized by location (national regional state and selected sites) and indicator and they include CVDs (e.g. heart failure) and risk factors (e.g. hypertension). The data can be plotted as trends and stratified by age group sex and race/ethnicity.,CSV,,"[brfss, cardiovascular-disease, coronary-heart-disease, hypertension, risk-factors, stroke]",See this page for license information.,,,12,12,,,Behavioral Risk Factor Data: Heart Disease &amp; Stroke Prevention,2018-02-02,https://catalog.data.gov/dataset/behavioral-risk-factor-data-heart-disease-amp-stroke-prevention-67c1f
1435,,State of Minnesota,,,The TRS digital data set represents the Township Range and Section boundaries of the state. Beginning in the late 1840s the federal government began surveying Minnesota as part of the Public Land Survey System (PLSS). The resulting network of land survey lines divided the state into townships ranges sections quarter sections quarter-quarter sections and government lots and laid the groundwork for contemporary land ownership patterns. The township range and section boundaries were digitized at MnGeo (formerly known as the Land Management Information Center - LMIC) from stable base mylars of the U.S. Geological Survey (USGS) 30-minute latitude by 60-minute longitude map series (1100000-scale). All survey lines were extended across water bodies despite the fact that U.S. Geological Survey base maps depict them only on land. This addition allows all sections and townships to be represented as closed areas (polygons) ensuring that township and range location can be determined for any point in the state. It also means that the data set is not affected if lake levels change over time.,HTML,,[],No license information was provided.,,,12,12,,,"Township, Range, and Section (TRS) Boundaries, Minnesota",,https://catalog.data.gov/dataset/township-range-and-section-trs-boundaries-minnesota
1436,,Department of the Interior,,,Surficial geology (geo7_2ag).,ZIP,,"[natural gas, oilgas, africa, resource assessment, earth science, lithology, petroleum, oil sand resources, environment, wep, oil shale resources, surface geology, oil, natural gas resources, geology, gas, geologic age, digital geologic map, u.s. geological survey, worldgeologicmaps, usgs, geoscientificinform..., natural resources, age, economic geology]",No license information was provided. If this work was prepared by an officer or employee of the United States government as part of that person's official duties it is considered a U.S. Government Work.,,,12,12,,,Surficial geology of Africa (geo7_2ag),,https://catalog.data.gov/dataset/surficial-geology-of-africa-geo7-2ag
1437,,Department of Transportation,,,CDLIS - Gateway is the clearinghouse for CDL information collected by all states and provides a gateway for enforcement users to access CDL data. CDLIS Gateway was developed to provide authorized FMCSA users with access to CDLIS. This system is maintained exclusively by FMCSA using a contractor.,,,"[cdl, commercial-drivers-..., enforcement]",See this page for license information.,,,12,12,,,Commercial Drivers License Information System - Gateway: (CDLIS - Gateway) -,2015-02-17,https://catalog.data.gov/dataset/commercial-drivers-license-information-system-gateway-cdlis-gateway
1438,,U.S. Department of Health & Human Services,,,The National Institute on Aging Genetics of Alzheimer's Disease Data Storage Site (NIAGADS) is a national genetics data repository facilitating access to genotypic and phenotypic data for Alzheimer's disease (AD). Data include GWAS whole genome (WGS) and whole exome (WES) expression RNA Seq and CHIP Seq analyses. Data for the Alzheimer’s Disease Sequencing Project (ADSP) are available through a partnership with dbGaP (ADSP at dbGaP). Results are integrated and annotated in the searchable genomics database that also provides access to a variety of software packages analytic pipelines online resources and web-based tools to facilitate analysis and interpretation of large-scale genomic data. Data are available as defined by the NIA Genomics of Alzheimer’s Disease Sharing Policy and the NIH Genomics Data Sharing Policy. Investigators return secondary analysis data to the database in keeping with the NIAGADS Data Distribution Agreement.,,,[national-institutes...],See this page for license information.,,,12,12,,,The National Institute on Aging Genetics of Alzheimer’s Disease Data Storage Site (NIAGADS),2016-07-15,https://catalog.data.gov/dataset/the-national-institute-on-aging-genetics-of-alzheimers-disease-data-storage-site-niagads
1439,,National Aeronautics and Space Administration,,,NASA has released a series of space sounds via sound cloud. We have abstracted away some of the hassle in accessing these sounds so that developers can play with the audio files.,API,,"[api, audio, sound-cloud-file, space-sounds]",U.S. Government Work,,,12,12,,,NASA Space Sounds API,2015-11-30T00:00:00.000Z,https://catalog.data.gov/dataset/nasa-space-sounds-api
1440,,City of Los Angeles,,,LAPD Crime and Collision Raw Data for 2014,CSV,,"[collisions, crime, lapd, police, safety, traffic]",No license information was provided.,,,12,12,,,LAPD Crime and Collision Raw Data for 2014,2016-06-12,https://catalog.data.gov/dataset/lapd-crime-and-collision-raw-data-for-2014
1441,,State of Iowa,,,Retail Taxable Sales Data by County and City,CSV,,"[computed-tax, sales, taxable, taxable-sales]",No license information was provided.,,,12,12,,,Quarterly Retail Taxable Sales Data by County and City,2018-01-23,https://catalog.data.gov/dataset/quarterly-retail-taxable-sales-data-by-county-and-city
1442,,Department of the Interior,,,Chronic Wasting Disease (CWD) is a fatal contagious neuro-degenerative disease affecting multiple members of the Family Cervidae. First detected in 1967 the disease has to-date been documented in free-ranging and/or captive cervid populations in 24 states two Canadian provinces the Republic of South Korea and Norway. The USGS National Wildlife Health Center (NWHC) tracks changes to the known distribution of CWD in the form of a map (available on the NWHC website).,JPEG,,"[wyoming, cervids, american samoa, u.s. virgin islands, guam, deer, wildlife health, alaska, wisconsin, nevada, maine, tennessee, colorado, elk, mississippi, south dakota, chronic wasting dis..., oklahoma, delaware, minnesota, north carolina, illinois, nebraska, arkansas, puerto rico, north dakota, indiana, maryland, louisiana, cwd, idaho, map, moose, arizona, iowa, west virginia, washington, michigan, kansas, utah, vermont, oregon, virginia, connecticut, montana, california, massachusetts, new york, rhode island, morbidity, wildlife, georgia, northern mariana is..., pennsylvania, florida, hawaii, kentucky, new jersey, district of columbia, new hampshire, texas, missouri, south carolina, ohio, alabama, new mexico]",No license information was provided. If this work was prepared by an officer or employee of the United States government as part of that person's official duties it is considered a U.S. Government Work.,,,12,12,,,Map of Chronic Wasting Disease in North America,,https://catalog.data.gov/dataset/map-of-chronic-wasting-disease-in-north-america
1443,,City of Charlotte,,,CMPD conducts an average of 120000 traffic stops per year. Under North Carolina state law (G.S. 143B-902-903) the CMPD as well as other law enforcement agencies in the state are required to collect information on all traffic stops the reason for the stop and the type of enforcement action taken. Information on the driver’s sex race ethnicity and age is collected compiled and reported to the NC Department of Justice. Information on whether the driver or passenger(s) were searched is also collected.  For more information please visit http//charlottenc.gov/CMPD/Pages/Resources/OpenData_Source.aspx  CMPD is committed to deploying traffic officers to areas where we experience high crime and victimization.  Our focus is also in the geographical areas where concerns are reported by community members.  We as a police department have a responsibility to those communities to address their concerns and take appropriate enforcement action in an effort to keep their neighborhoods safe.  Additionally we are not only reacting to crime but proactively engaging in strategies that are intended to prevent criminal activity from occurring by placing officers in areas with a greater statistical history of crime.,HTML,,"[charlotte, mecklenburg, nc, officer, police, safety, stops, traffic]",See this page for license information.,,,12,12,,,Officer Traffic Stops,2017-11-15T21:57:42.159Z,https://catalog.data.gov/dataset/officer-traffic-stops
1444,,"National Oceanic and Atmospheric Administration, Department of Commerce",,,Weather Bureau and US Army Corps and other reports of storms from 1886-1955. Hourly precipitation from recording rain gauges captured during heavy rain snow flooding or hurricane events.,XML,,"[atmosphere, cyclones, united states of am..., hail, sleet, national centers fo..., nesdis, noaa, u.s. department of ..., doc/noaa/nesdis/ncei, continent, earth science, anticyclones/cyclones, vertical location, atmospheric pressure, doc/noaa/nesdis/ncdc, atmospheric - surfa..., precipitation rate, storms, snow, land surface, precipitation amount, freezing rain, liquid precipitation, national climatic d..., nesdis, noaa, u.s. department of ..., rain, hurricanes, precipitation, atmospheric phenomena, north america, ice pellets, rain gauges, solid precipitation, precipitation anoma..., meteorological stat...]",U.S. Government Work,,,12,12,,,US Weather Bureau Storm Reports,,https://catalog.data.gov/dataset/us-weather-bureau-storm-reports
